Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
24,Christian Backman,28,CBJ,D,56,2,5,7,5,32,1,1,0,1,54,3.7,877,15:39
25,Nicklas Backstrom,21,WSH,C,82,22,66,88,16,46,8,14,0,1,174,12.6,1635,19:57
26,Josh Bailey,19,NYI,C,68,7,18,25,-14,16,4,3,0,0,74,9.5,1053,15:29
27,Keith Ballard,26,FLA,D,82,6,28,34,14,72,5,1,0,1,106,5.7,1835,22:23
28,Krys Barch,28,DAL,RW,72,4,5,9,1,133,4,0,0,1,27,14.8,465,6:27
29,Cam Barker,22,CHI,D,68,6,34,40,-6,65,1,5,0,1,101,5.9,1247,18:20
30,Cody Bass,22,OTT,C,12,0,0,0,-2,15,0,0,0,0,5,0.0,68,5:41
31,Ryan Bayda,28,CAR,LW,70,5,7,12,2,26,5,0,0,0,62,8.1,732,10:27
32,Jay Beagle,23,WSH,RW,3,0,0,0,-3,2,0,0,0,0,5,0.0,23,7:36
33,Francois Beauchemin,28,ANA,D,20,4,1,5,-3,12,4,0,0,2,45,8.9,498,24:54
34,Steve Begin,30,TOT,C,62,7,5,12,-6,42,7,0,0,1,90,7.8,665,10:43
35,Wade Belak,32,TOT,RW,53,0,2,2,-1,79,0,0,0,0,19,0.0,278,5:15
36,Eric Belanger,31,MIN,C,79,13,23,36,-5,26,9,4,0,4,147,8.8,1409,17:50
37,Matt Beleskey,20,ANA,LW,2,0,0,0,0,0,0,0,0,0,0,,22,11:10
38,Brendan Bell,25,OTT,D,53,6,15,21,-5,24,1,5,0,1,76,7.9,940,17:44
39,Sean Bentivoglio,23,NYI,LW,1,0,0,0,0,2,0,0,0,0,2,0.0,12,11:31
40,Sean Bergenheim,24,NYI,LW,59,15,9,24,-2,64,11,0,4,5,152,9.9,841,14:15
41,Marc-Andre Bergeron,28,MIN,D,72,14,18,32,5,30,7,7,0,3,140,10.0,1217,16:54
42,Patrice Bergeron,23,BOS,C,64,8,31,39,2,16,6,1,1,1,155,5.2,1151,17:59
43,Niclas Bergfors,21,NJD,RW,8,1,0,1,-1,0,1,0,0,0,6,16.7,46,5:48
44,Patrik Berglund,20,STL,C,76,21,26,47,19,16,14,7,0,1,143,14.7,1119,14:43
344,Jonas Junland,21,STL,D,1,0,0,0,0,2,0,0,0,0,0,,12,12:28
